page	task	sample	Number of organisations	Number of attachments	Largest attachment	Total size	Number of updates	Number of downloads
application-to-extend-stay-in-the-uk-as-tier-1-or-5-dependant	FA024	sample	0.01	0.02	0.06574392	0.11445236	0.06	0.00000000
application-to-register-a-bareboat-charter-ship	FA018	sample	0.01	0.01	0.00604877	0.00604877	0.02	0.00000000
application-to-register-child-under-18-as-british-citizen-form-mn1	FA008	sample	0.01	0.02	0.08982439	0.14823141	0.1	0.00000000
application-to-register-for-british-citizenship-form-s3	FA084	sample	0.01	0.02	0.06427994	0.10099297	0.03	0.00000000
application-to-settle-in-uk-as-refugee-form-set-protection-route	FA182	sample	0.01	0.01	0.10366859	0.10366859	0.06	0.00000000
application-to-visit-uk-on-government-business-form-vafdip2	FA194	sample	0.01	0.01	0.01531572	0.01531572	0.01	0.00000000
apply-for-a-postal-vote	FA043	sample	0.01	0.02	0.07627287	0.15142670	0.05	0.00000000
apply-for-costs-from-central-funds-direct-public-access-5913a	FA133	sample	0.01	0.01	0.04101210	0.04101210	0.02	0.00000000
apply-to-attend-the-motorcycle-instructors-compulsory-basic-training-assessment	FA067	sample	0.01	0.01	0.39073591	0.39073591	0.02	0.00000000
apply-to-cremate-body-parts	FA113	sample	0.01	0.01	0.00639420	0.00639420	0.01	0.00000000
apply-to-exhume-human-remains	FA032	sample	0.01	0.01	0.01585245	0.01585245	0.01	0.00000000
applying-for-medals	FA106	sample	0.01	0.01	0.03255148	0.03255148	0.04	0.00000000
appoint-a-corporate-director-ap02c	FA019	sample	0.01	0.01	0.02910690	0.02910690	0.02	0.00000000
appoint-liquidator-in-voluntary-winding-up-600	FA048	sample	0.01	0.01	0.02586288	0.02586288	0.01	0.00000000
armed-forces-veterans-badge-application-form	FA025	sample	0.02	0.01	0.28113260	0.28113260	0.04	0.00000000
asset-valuation-request-for-a-share-valuation-val230	FA062	sample	0.01	0.01	0.02385778	0.02385778	0.02	0.00000000
bats-licence-to-disturb-or-take-bats-for-science-or-conservation	FA003	sample	0.01	0.02	0.05146122	0.08535862	0.02	0.00000000
bereavement-benefits-claim-form	FA104	sample	0.01	0.02	0.06560173	0.08230095	0.01	0.00000000
blood-establishment-authorisation-application-form	FA081	sample	0.01	0.02	0.09519720	0.17842560	0.01	0.00000000
bovine-and-boar-semen-collection-and-breeding-licence-application	FA086	sample	0.01	0.12	0.05363731	0.21031828	0.02	0.00000000
capability-for-work-questionnaire	FA007	sample	0.01	0.02	0.24346876	0.48058643	0.03	0.00000000
carers-allowance-claim-form	FA103	sample	0.01	0.08	0.02233829	0.15042076	0.04	0.00000000
certificate-of-competence-to-slaughter-or-kill-animals-application	FA175	sample	0.02	0.01	0.05033503	0.05033503	0.01	0.00000000
certificate-of-competency-engineering-msf-4900	FA078	sample	0.01	0.01	0.09438505	0.09438505	0.02	0.00000000
certificate-of-proficiency-as-able-seafarer-regulation-iii5	FA187	sample	0.01	0.01	0.08460569	0.08460569	0.01	0.00000000
cf1a-counsel-claim-form	FA188	sample	0.01	0.01	0.00516243	0.00516243	0.01	0.00000000
change-constitution-by-enactment-cc05	FA034	sample	0.01	0.01	0.05327168	0.05327168	0.01	0.00000000
child-benefit-claim-form-ch2	FA091	sample	0.01	0.04	0.46480360	0.54434452	0.08	0.00000000
child-trust-fund-claim-interim-tax-relief-ctf10	FA114	sample	0.01	0.01	0.00589113	0.00589113	0.01	0.00000000
civ-app1-application-for-civil-legal-aid-certificate	FA163	sample	0.01	0.01	0.02161741	0.02161741	0.04	0.00000000
civ-means-2-financial-assessment-form-for-legal-aid-clients	FA057	sample	0.01	0.02	0.02506161	0.04741058	0.01	0.00000000
civil-partnership-application-form	FA156	sample	0.01	0.01	0.00681305	0.00681305	0.01	0.00000000
class-f-land-charge-registration-application-k2	FA189	sample	0.01	0.02	0.03248301	0.03804522	0.01	0.00000000
class-f-land-charge-registration-renewal-application-k8	FA127	sample	0.01	0.02	0.03191376	0.03761826	0.01	0.00000000
clearance-of-missing-or-delayed-baggage-non-eu-arrivals	FA119	sample	0.01	0.01	0.01901159	0.01901159	0.01	0.00000000
coal-mining-permit-application-form	FA082	sample	0.01	0.01	0.04222488	0.04222488	0.02	0.00000000
collective-investment-schemes-notice-of-entry-into-the-property-authorised-investment-funds-regime-cisc7	FA004	sample	0.01	0.01	0.09278784	0.09278784	0.02	0.00000000
commercial-fishing-vessel-licence-application-form	FA039	sample	0.01	0.02	0.02584810	0.04070749	0.01	0.00000000
commonhold-land-registered-freehold-termination-cm2	FA126	sample	0.01	0.02	0.03198833	0.04311714	0.03	0.00000000
consolidate-sub-divide-redeem-shares-or-re-convert-stock-into-shares-sh02	FA171	sample	0.01	0.02	0.13466158	0.17349129	0.03	0.00000000
construction-ideas-fund-window-1-application-form	FA170	sample	0.01	0.01	0.01173563	0.01173563	0.01	0.00000000
contingency-plan-template-for-type-2-transporters	FA013	sample	0.02	0.01	0.00661936	0.00661936	0.03	0.00000000
contracted-out-pension-schemes-contracted-out-salary-related-scheme-cessation-pensioner-re-input-schedule-ca1565	FA080	sample	0.01	0.01	0.00698566	0.00698566	0.01	0.00000000
controlled-drugs-export-declaration-form	FA116	sample	0.01	0.01	0.00153589	0.00153589	0.01	0.00000000
corporate-covenant-pledge	FA152	sample	0.01	0.01	0.01809111	0.01809111	0.03	0.00000000
corporation-tax-company-tax-return-ct600-2015-version-3	FA020	sample	0.01	0.01	0.04989376	0.04989376	0.02	0.00000000
corporation-tax-disclosure-of-tax-avoidance-schemes-ct600j-2015-version-3	FA110	sample	0.01	0.01	0.03257418	0.03257418	0.01	0.00000000
council-tax-requirement-return	FA172	sample	0.01	0.09	0.49771032	0.72846203	0.05	0.00000000
countryside-stewardship-facilitation-fund-claim-a-grant-and-record-progress	FA021	sample	0.04	0.01	0.02498541	0.02498541	0.02	0.00000000
court-funds-request-for-deposit-trustee-payment	FA134	sample	0.01	0.01	0.05983105	0.05983105	0.01	0.00000000
credit-card-payment-authorisation-form-netherlands	FA146	sample	0.01	0.01	0.01785002	0.01785002	0.01	0.00000000
crm18-escape-fee-case-claim-form-crime	FA089	sample	0.01	0.03	0.03602791	0.08439922	0.01	0.00000000
crossrail-planning-appeals-form-and-guidance	FA115	sample	0.01	0.03	0.01576653	0.02856045	0.01	0.00000000
d4-medical-examiner-report-for-a-lorry-or-bus-driving-licence	FA083	sample	0.01	0.02	3.38628664	3.42581120	0.03	0.00000000
d779b-application-for-a-digital-tachograph-company-cards	FA058	sample	0.01	0.01	1.22280951	1.22280951	0.06	0.00000000
deceased-joint-proprietor-djp	FA102	sample	0.01	0.02	0.03734837	0.04582329	0.04	0.00000000
declaration-of-exemption-from-mot	FA092	sample	0.01	0.01	0.01829090	0.01829090	0.02	0.00000000
declaration-of-voluntary-surrender	FA045	sample	0.01	0.01	0.00911207	0.00911207	0.01	0.00000000
deer-apply-for-a-licence-to-shoot-them	FA060	sample	0.01	0.02	0.06483030	0.09431076	0.02	0.00000000
disability-living-allowance-for-children-claim-form	FA177	sample	0.01	0.03	0.19585934	0.32779675	0.04	0.00000000
dna-early-deletion-guidance-and-application-form	FA173	sample	0.01	0.02	0.04173822	0.05467052	0.02	0.00000000
double-taxation-united-kingdomfrance-si-2009-number-226-form-france-individual	FA148	sample	0.01	0.01	0.05170021	0.05170021	0.01	0.00000000
drilling-for-minerals-notice-of-intent-form-and-guidance	FA090	sample	0.01	0.02	0.21499605	0.24231863	0.01	0.00000000
eartag-feedback-form-for-sheep-and-goat-keepers	FA002	sample	0.01	0.01	0.04880095	0.04880095	0.02	0.00000000
electing-information-and-consultation-representatives-make-a-complaint	FA122	sample	0.01	0.04	0.01758776	0.06864290	0.01	0.00000000
employment-tribunal-penalty-enforcement	FA033	sample	0.01	0.01	0.01527834	0.01527834	0.02	0.00000000
etl-application-checklist-air-blast-coolers	FA128	sample	0.01	0.01	0.05265398	0.05265398	0.01	0.00000000
etl-application-checklist-biomass-boilers-and-roomheaters	FA066	sample	0.01	0.01	0.04653893	0.04653893	0.02	0.00000000
evironmental-liability-appeal-form	FA142	sample	0.01	0.02	0.12743216	0.14774618	0.01	0.00000000
exact-line-of-boundary-registration-db	FA059	sample	0.01	0.02	0.03350000	0.04338665	0.04	0.00000000
excise-warehousing-remittance-advice-for-tobacco-goods-w6	FA143	sample	0.01	0.01	0.01836300	0.01836300	0.01	0.00000000
fair-rent-forms	FA015	sample	0.01	0.05	0.04557819	0.12835503	0.03	0.00000000
family-mediation-claim-forms	FA109	sample	0.01	0.03	0.05894709	0.07985926	0.03	0.00000000
fco-strategic-programme-fund-and-bilateral-programme-fund-project-proposal-form	FA010	sample	0.01	0.01	0.01465864	0.01465864	0.01	0.00000000
firearms-application-forms	FA096	sample	0.01	0.02	0.28935642	0.46244612	0.02	0.00000000
form-cic36-application-to-form-a-community-interest-company	FA073	sample	0.01	0.03	0.01077404	0.02649736	0.02	0.00000000
forms	FA160	sample	0.02	0.02	0.01607380	0.02731504	0.04	0.00000000
funeral-payment-claim-form	FA093	sample	0.01	0.04	0.07942715	0.12693491	0.03	0.00000000
general-quota-application	FA135	sample	0.01	0.01	0.01171551	0.01171551	0.03	0.00000000
give-notice-of-a-cross-border-merger-cb01	FA050	sample	0.01	0.02	0.09664001	0.16323528	0.01	0.00000000
give-notice-of-a-special-resolution-on-change-of-name	FA153	sample	0.01	0.01	0.00302858	0.00302858	0.01	0.00000000
give-notice-of-abstract-or-receipts-and-payments-36ch	FA108	sample	0.01	0.01	0.00557852	0.00557852	0.01	0.00000000
give-notice-of-change-of-details-of-other-registrable-person-with-significant-control-psc06	FA136	sample	0.01	0.01	0.02663040	0.02663040	0.02	0.00000000
give-notice-of-location-or-change-in-location-of-instruments-os-ad02	FA121	sample	0.01	0.01	0.05876331	0.05876331	0.01	0.00000000
give-notice-of-the-automatic-end-of-administration-230bch	FA155	sample	0.01	0.01	0.00312824	0.00312824	0.01	0.00000000
give-notice-to-registrar-in-respect-of-dissolution-date-236b	FA181	sample	0.01	0.01	0.01773901	0.01773901	0.01	0.00000000
growth-vouchers-supplier-claim-form	FA137	sample	0.01	0.01	0.00862350	0.00862350	0.01	0.00000000
guidance-published-on-registering-a-vision-impairment-as-a-disability	FA028	sample	0.01	0.03	0.02554970	0.05872173	0.01	0.00000000
hazardous-waste-consignment-note	FA026	sample	0.01	0.02	0.01270008	0.02224026	0.03	0.00000000
hepatitis-e-surveillance-form	FA009	sample	0.01	0.02	0.05701771	0.07935858	0.02	0.00000000
human-papillomavirus-hpv-vaccination-consent-form	FA076	sample	0.01	0.02	0.02556400	0.04573793	0.02	0.00000000
import-and-export-authorised-economic-operator-self-assessment-questionnaire-c118	FA071	sample	0.01	0.02	0.23221302	0.24780893	0.03	0.00000000
import-and-export-european-community-transit-document-t5-c1125	FA164	sample	0.01	0.01	0.00230532	0.00230532	0.01	0.00000000
imported-fever-service-referral-form	FA129	sample	0.01	0.01	0.09385853	0.09385853	0.01	0.00000000
income-tax-repayment-claim-when-small-pension-taken-as-a-lump-sum-p53	FA138	sample	0.01	0.02	0.03031702	0.05698595	0.07	0.00000000
index-map-application-for-an-official-search-sim	FA178	sample	0.01	0.02	0.03107681	0.04005928	0.02	0.00000000
individual-vehicle-approval-iva-ih	FA097	sample	0.01	0.02	0.31028767	0.37083521	0.07	0.00000000
industrial-injuries-disablement-benefit-claim-forms	FA165	sample	0.01	0.04	0.04386930	0.10949688	0.03	0.00000000
inheritance-tax-cessation-of-conditional-exemption-disposal-of-timber-or-underwood-iht100f	FA157	sample	0.01	0.01	0.01085348	0.01085348	0.01	0.00000000
inheritance-tax-gifts-and-other-transfers-of-value-iht403	FA027	sample	0.01	0.01	0.02541494	0.02541494	0.02	0.00000000
inheritance-tax-instrument-of-variation-checklist-iov2	FA144	sample	0.01	0.01	0.06812220	0.06812220	0.01	0.00000000
intercountry-adoption-means-test-form	FA180	sample	0.01	0.01	0.00784655	0.00784655	0.02	0.00000000
interim-executive-board-application-form	FA147	sample	0.01	0.03	0.01769438	0.03589535	0.02	0.00000000
international-tax-uk-new-zealand-double-taxation-convention-form-new-zealand-company	FA051	sample	0.01	0.01	0.01547260	0.01547260	0.01	0.00000000
job-application-form-jobcentre-plus	FA061	sample	0.01	0.02	0.00883551	0.01545296	0.01	0.00000000
join-or-leave-a-fish-producer-organisation	FA117	sample	0.01	0.01	0.01977549	0.01977549	0.01	0.00000000
l17-statement-of-earnings	FA074	sample	0.01	0.01	0.00448360	0.00448360	0.01	0.00000000
leave-application-for-restricted-patients	FA196	sample	0.01	0.02	0.14747009	0.15808163	0.02	0.00000000
licensed-finishing-units-for-cattle-application	FA197	sample	0.01	0.02	0.01659336	0.02265768	0.02	0.00000000
mammals-licence-to-kill-take-or-disturb-for-health-and-safety	FA198	sample	0.01	0.03	0.08358622	0.15919762	0.02	0.00000000
marriage-certificate-application-form	FA191	sample	0.01	0.01	0.00484943	0.00484943	0.01	0.00000000
maternity-allowance-claim-form	FA011	sample	0.01	0.03	0.12479668	0.21946802	0.03	0.00000000
meat-chicken-notification	FA123	sample	0.01	0.02	0.01663427	0.03091230	0.02	0.00000000
mortgage-release-of-part-of-the-land-for-lenders-ds3	FA158	sample	0.01	0.02	0.02549276	0.03253574	0.02	0.00000000
national-careers-service-case-study-submission-form	FA154	sample	0.01	0.01	0.02680378	0.02680378	0.01	0.00000000
national-list-application-to-add-an-amateur-vegetable	FA047	sample	0.01	0.02	0.25360594	0.43825541	0.04	0.00000000
national-non-domestic-rates-return	FA169	sample	0.01	0.03	0.14474812	0.23854914	0.07	0.00000000
national-processing-of-international-patent-uk-application	FA040	sample	0.01	0.03	0.12446804	0.32766647	0.01	0.00000000
natterjack-toads-apply-for-a-mitigation-licence	FA111	sample	0.01	0.01	0.07512627	0.07512627	0.03	0.00000000
natural-england-licence-agreement-aerial-photography-and-height-data	FA022	sample	0.01	0.01	0.04849691	0.04849691	0.01	0.00000000
neisseria-gonorrhoeae-isolate-referral-form	FA052	sample	0.01	0.01	0.05630493	0.05630493	0.01	0.00000000
new-ground-source-heating-and-cooling-scheme-form-and-guidance-notes	FA037	sample	0.01	0.02	0.18155851	0.20553026	0.02	0.00000000
nominate-someone-for-a-uk-national-honour	FA094	sample	0.01	0.01	0.03316994	0.03316994	0.02	0.00000000
non-chargeable-variation-of-a-psv-operators-licence-psv431a	FA088	sample	0.01	0.02	0.05453110	0.09022417	0.02	0.00000000
non-native-species-apply-for-a-licence-to-release-them	FA200	sample	0.01	0.02	0.06785650	0.10462255	0.03	0.00000000
notice-of-assignment-form-park-homes	FA079	sample	0.01	0.02	0.02201738	0.02686768	0.01	0.00000000
notice-of-same-sex-marriage-vietnam	FA014	sample	0.01	0.01	0.00253716	0.00253716	0.01	0.00000000
notification-of-multiple-motorcycles-brought-into-the-uk	FA166	sample	0.01	0.02	0.01523943	0.03045788	0.03	0.00000000
notify-a-cancellation-of-treasury-shares-sh05	FA068	sample	0.01	0.02	0.13453732	0.19814625	0.02	0.00000000
notify-ofsted-of-an-incident-form-for-childrens-social-care-providers	FA075	sample	0.01	0.06	0.03392973	0.19280682	0.02	0.00000000
open-meeting-advisory-council-on-the-misuse-of-drugs	FA141	sample	0.01	0.01	0.00156736	0.00156736	0.02	0.00000000
ordinary-statutory-paternity-pay-and-leave-becoming-an-adoptive-parent-sc4	FA046	sample	0.01	0.01	0.01579704	0.01579704	0.03	0.00000000
overseas-birth-certificate	FA035	sample	0.01	0.01	0.00482635	0.00482635	0.01	0.00000000
overseas-civil-partnership-application-form	FA130	sample	0.01	0.01	0.00671244	0.00671244	0.01	0.00000000
paye-relocation-costs-p11d-ws5	FA199	sample	0.01	0.01	0.01996775	0.01996775	0.04	0.00000000
personal-licence-application--2	FA105	sample	0.01	0.01	0.01356201	0.01356201	0.02	0.00000000
pet-food-plant-approval-application	FA053	sample	0.01	0.01	0.02058935	0.02058935	0.02	0.00000000
police-innovation-fund-bidding-form	FA149	sample	0.01	0.03	0.04106054	0.08071289	0.04	0.00000000
poultry-keeping-customer-registration	FA038	sample	0.01	0.04	0.04951305	0.14260044	0.02	0.00000000
premises-licence-application	FA054	sample	0.01	0.01	0.05787792	0.05787792	0.01	0.00000000
prescriptive-easements-statement-of-truth-st4	FA098	sample	0.01	0.02	0.03349886	0.04202967	0.02	0.00000000
psv-speed-limiter-exemption-declaration-form	FA120	sample	0.01	0.01	0.02606010	0.02606010	0.02	0.00000000
pupil-information-profile-for-military-service-children	FA167	sample	0.01	0.01	0.04080477	0.04080477	0.02	0.00000000
radioactive-substances-form-epr-part-rsr-f	FA063	sample	0.01	0.02	0.45623703	0.47837772	0.01	0.00000000
range-safety-inspection-mod-forms	FA049	sample	0.01	0.06	0.33495760	0.41705008	0.02	0.00000000
re-register-an-unlimited-company-as-a-limited-company-rr06	FA041	sample	0.01	0.01	0.05870228	0.05870228	0.01	0.00000000
redundancy-payments-form-rp16-redundancy-payments-actuarial-certificate	GC039	sample	0.01	0.01	0.01871042	0.01871042	0.01	0.00000000
register-a-lasting-power-of-attorney	FA179	sample	0.01	0.06	0.09132051	0.25093508	0.09	0.00000000
regulatory-triage-assessment-form	FA162	sample	0.01	0.01	0.00691853	0.00691853	0.02	0.00000000
replace-a-document-not-meeting-requirements-rp01	FA099	sample	0.01	0.01	0.05685158	0.05685158	0.01	0.00000000
report-a-lost-or-stolen-passport-form-ls01	GC038	sample	0.01	0.01	0.03198872	0.03198872	0.03	0.00000000
report-a-supply-problem-with-a-veterinary-medicine	FA150	sample	0.01	0.01	0.00547056	0.00547056	0.02	0.00000000
report-anti-competitive-or-market-issues-to-the-cma	FA044	sample	0.01	0.02	0.00765772	0.01307812	0.03	0.00000000
request-for-a-review-of-a-placement-decision-form	FA125	sample	0.01	0.01	0.00743999	0.00743999	0.01	0.00000000
request-for-rental-information-petrol-filling-stations-oil-company	FA185	sample	0.01	0.02	0.06591167	0.10246229	0.02	0.00000000
request-permission-for-works-or-an-activity-on-an-sssi	FA070	sample	0.02	0.01	0.02128992	0.02128992	0.01	0.00000000
request-to-extend-a-prescribed-time-limit	FA159	sample	0.01	0.03	0.02110233	0.04927731	0.01	0.00000000
request-to-invalidate-a-design-registration	FA069	sample	0.01	0.03	0.01644087	0.04571056	0.02	0.00000000
request-to-restore-a-registration	FA145	sample	0.01	0.03	0.01436672	0.04114943	0.01	0.00000000
river-thames-visiting-launch-short-period-application	FA036	sample	0.01	0.01	0.03379698	0.03379698	0.04	0.00000000
rule-144-proof-of-debt-general-form	FA131	sample	0.01	0.02	0.04999809	0.06784964	0.01	0.00000000
security-check-counter-terrorist-check-questionnaire-nsv001	FA192	sample	0.01	0.01	0.20492353	0.20492353	0.03	0.00000000
seed-certification-label-order-forms	FA176	sample	0.01	0.02	0.15330000	0.18159332	0.03	0.00000000
self-assessment-foreign-sa106	FA085	sample	0.01	0.08	0.08272705	0.38744335	0.04	0.00000000
self-assessment-tax-return-sa100	FA095	sample	0.01	0.08	0.07346888	0.52022991	0.07	0.00000000
significant-disappearance-and-theft-reporting-form	FA183	sample	0.01	0.01	0.00246906	0.00246906	0.01	0.00000000
sixth-form-college-capital-transactions-forms	FA124	sample	0.01	0.02	0.04555140	0.09109831	0.01	0.00000000
